Tool and replicate,FP_class (called more than 30% of features significant),% of significant features,Tool,normalized depth difference,geometric mean difference,mean depth across dataset,dataset
 Mean Depth: 8500,,,,,,,
limma voom (TMM).9,FALSE,0,limma voom (TMM),0.027016252,0.000489737,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).10,FALSE,0,limma voom (TMM),0.053216379,0.000938556,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).11,FALSE,0,limma voom (TMM),0.028334178,0.000148484,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).12,FALSE,0,limma voom (TMM),0.106106288,0.001674786,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).13,FALSE,0,limma voom (TMM),0.046008252,0.000719612,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).14,FALSE,0,limma voom (TMM),0.026431202,0.000648585,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).15,FALSE,0,limma voom (TMM),0.050853831,0.001295433,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).16,FALSE,0,limma voom (TMM),0.05139439,0.001235501,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).17,FALSE,0,limma voom (TMM),0.126529648,0.001955609,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).18,TRUE,0.324709971,limma voom (TMM),0.02585667,0.00149348,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).19,FALSE,0,limma voom (TMM),0.01508897,0.001106066,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).20,FALSE,0.00152446,limma voom (TMM),0.046924506,0.001490242,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).21,TRUE,45.06303642,limma voom (TMM),0.007360267,0.000115441,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).22,FALSE,0.00152446,limma voom (TMM),0.029638589,0.000317042,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).23,TRUE,68.7531442,limma voom (TMM),0.10181631,0.000343942,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).24,FALSE,0.00152446,limma voom (TMM),0.033371548,0.000465926,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).25,FALSE,0.024391359,limma voom (TMM),0.014206689,0.000743369,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).26,FALSE,0.00152446,limma voom (TMM),0.00964288,0.000656559,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).27,FALSE,0,limma voom (TMM),0.029229922,0.000697951,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).28,FALSE,0,limma voom (TMM),0.040287913,0.000862788,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).29,FALSE,0,limma voom (TMM),0.075051589,0.000867277,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).30,FALSE,0,limma voom (TMM),0.044631374,0.000508357,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).31,FALSE,0,limma voom (TMM),0.061118941,0.000332831,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).32,FALSE,0,limma voom (TMM),0.013539232,0.001272271,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).33,FALSE,0.00152446,limma voom (TMM),0.049571875,0.00122778,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).34,FALSE,0.027440279,limma voom (TMM),0.030989488,0.000848088,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).35,FALSE,0.00152446,limma voom (TMM),0.021273931,0.000180994,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).36,FALSE,0.00152446,limma voom (TMM),0.078563255,0.001963703,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).37,FALSE,0.00152446,limma voom (TMM),0.033859676,0.000965948,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).38,FALSE,0,limma voom (TMM),0.008018204,0.000688172,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).39,FALSE,0,limma voom (TMM),0.078461338,0.001038998,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).40,TRUE,96.97852036,limma voom (TMM),0.094599663,0.001181158,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).41,FALSE,0,limma voom (TMM),0.00198065,0.000787065,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).42,FALSE,0,limma voom (TMM),0.043193072,0.000110985,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).43,FALSE,0.00152446,limma voom (TMM),0.038893049,0.000646382,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).44,FALSE,0,limma voom (TMM),0.000310484,8.86E-06,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).45,FALSE,0,limma voom (TMM),0.057949523,0.000540675,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).46,FALSE,0,limma voom (TMM),0.048326889,0.002065081,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).47,FALSE,0,limma voom (TMM),0.078437357,0.001356621,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).48,FALSE,0.0076223,limma voom (TMM),0.060179233,0.001388438,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).49,FALSE,0,limma voom (TMM),0.054137156,0.000785057,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).50,TRUE,96.74680245,limma voom (TMM),0.02404015,0.000444362,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).51,FALSE,0,limma voom (TMM),0.062148628,0.000192718,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).52,TRUE,97.44348065,limma voom (TMM),0.010794469,0.000354922,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).53,TRUE,93.13993018,limma voom (TMM),0.011574307,0.000118642,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).54,FALSE,0,limma voom (TMM),0.003570827,0.00036215,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).55,FALSE,0,limma voom (TMM),0.022740736,5.49E-05,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).56,FALSE,0,limma voom (TMM),0.042803863,0.00044115,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).57,FALSE,0,limma voom (TMM),0.027744133,0.000152068,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).58,FALSE,0,limma voom (TMM),0.005817524,0.001199308,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).59,FALSE,0.0076223,limma voom (TMM),0.041413522,0.000623941,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).60,FALSE,0,limma voom (TMM),0.025734297,7.56E-05,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).61,FALSE,0.131103557,limma voom (TMM),0.045418732,0.001956071,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).62,TRUE,90.17180664,limma voom (TMM),0.072444713,2.39E-05,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
